,Lowest Values,Run Times (s)
0,"[1.169 1.022 1.022 1.022 1.022 1.022 1.022 1.022 1.022 1.022 0.745 0.745
 0.745 0.745 0.745 0.745 0.745 0.64  0.64  0.64  0.64  0.64  0.64  0.64
 0.64  0.64  0.64  0.64  0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536
 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536
 0.536 0.536 0.525 0.525 0.525 0.525 0.525 0.525 0.517 0.517 0.517 0.517
 0.517 0.517 0.517 0.517 0.517 0.517 0.515 0.515 0.512 0.512 0.509 0.509
 0.506 0.506 0.506 0.506 0.506 0.505 0.503 0.503 0.503 0.503 0.503 0.503
 0.503 0.503 0.503 0.503 0.503 0.501 0.501 0.501 0.501 0.501 0.501 0.501
 0.501 0.501 0.501 0.501 0.501 0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5  ]",8.459569215774536
1,"[1.241 1.241 1.241 1.241 1.241 1.241 1.241 0.941 0.941 0.941 0.941 0.941
 0.941 0.941 0.941 0.941 0.941 0.941 0.907 0.907 0.907 0.907 0.907 0.907
 0.851 0.851 0.634 0.634 0.634 0.634 0.634 0.634 0.634 0.634 0.634 0.634
 0.634 0.634 0.634 0.634 0.634 0.634 0.634 0.634 0.634 0.634 0.634 0.634
 0.608 0.608 0.608 0.608 0.566 0.566 0.566 0.566 0.566 0.566 0.562 0.553
 0.553 0.553 0.553 0.55  0.55  0.55  0.55  0.546 0.546 0.546 0.546 0.546
 0.545 0.545 0.54  0.539 0.539 0.539 0.531 0.531 0.531 0.531 0.531 0.531
 0.531 0.528 0.515 0.515 0.515 0.515 0.515 0.515 0.515 0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5  ]",7.929017066955566
2,"[1.063 1.063 1.063 1.063 1.063 1.063 1.063 1.063 1.063 1.063 1.063 1.063
 1.063 1.063 1.063 1.063 1.063 1.063 0.939 0.939 0.939 0.939 0.939 0.939
 0.939 0.939 0.939 0.939 0.939 0.939 0.65  0.65  0.65  0.65  0.65  0.65
 0.65  0.65  0.65  0.65  0.65  0.65  0.65  0.65  0.65  0.65  0.65  0.65
 0.65  0.65  0.65  0.65  0.65  0.65  0.65  0.65  0.65  0.65  0.65  0.65
 0.65  0.65  0.65  0.65  0.65  0.65  0.65  0.633 0.633 0.633 0.633 0.633
 0.629 0.629 0.629 0.629 0.629 0.629 0.629 0.585 0.585 0.585 0.585 0.585
 0.585 0.585 0.585 0.585 0.585 0.585 0.585 0.585 0.585 0.585 0.585 0.585
 0.585 0.585 0.582 0.567 0.567 0.567 0.567 0.567 0.567 0.567 0.567 0.567
 0.567 0.567 0.567 0.567 0.567 0.567 0.563 0.563 0.558 0.558 0.558 0.548
 0.548 0.542 0.542 0.542 0.542 0.542 0.542 0.542 0.539 0.539 0.539 0.539
 0.539 0.539 0.539 0.539 0.539 0.539 0.539 0.539 0.539 0.539 0.524 0.524
 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524
 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524
 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524
 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524 0.524]",12.44008469581604
3,"[1.291 1.291 1.291 1.291 1.291 1.154 1.154 0.89  0.89  0.89  0.89  0.89
 0.89  0.89  0.89  0.89  0.89  0.89  0.89  0.89  0.884 0.884 0.884 0.884
 0.884 0.884 0.698 0.698 0.698 0.698 0.698 0.698 0.698 0.698 0.698 0.698
 0.698 0.698 0.698 0.698 0.575 0.575 0.575 0.575 0.575 0.575 0.575 0.575
 0.575 0.575 0.575 0.575 0.575 0.575 0.575 0.575 0.575 0.575 0.575 0.575
 0.575 0.575 0.559 0.559 0.559 0.559 0.559 0.559 0.559 0.559 0.559 0.559
 0.559 0.559 0.559 0.542 0.542 0.542 0.542 0.542 0.542 0.542 0.542 0.542
 0.542 0.542 0.542 0.542 0.522 0.522 0.522 0.522 0.522 0.522 0.522 0.522
 0.522 0.522 0.522 0.522 0.522 0.522 0.522 0.522 0.522 0.522 0.522 0.522
 0.522 0.522 0.52  0.52  0.52  0.52  0.519 0.518 0.518 0.512 0.512 0.512
 0.512 0.512 0.512 0.512 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505
 0.505 0.505 0.505 0.505 0.505 0.504 0.504 0.504 0.504 0.504 0.504 0.504
 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503
 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503
 0.503 0.503 0.503 0.503 0.503 0.503]",11.341687679290771
4,"[1.257 1.257 1.257 1.257 1.257 1.257 1.257 1.257 1.257 1.257 1.257 1.257
 1.257 1.257 1.257 1.257 1.257 1.257 1.257 1.257 1.257 1.257 1.257 1.257
 1.257 1.257 1.257 1.257 1.257 1.257 1.257 1.178 1.178 1.178 1.178 1.178
 1.178 1.178 0.819 0.819 0.819 0.737 0.737 0.737 0.737 0.737 0.66  0.66
 0.66  0.66  0.66  0.576 0.576 0.576 0.576 0.576 0.576 0.576 0.576 0.576
 0.576 0.576 0.576 0.576 0.576 0.576 0.576 0.571 0.571 0.571 0.571 0.571
 0.571 0.571 0.571 0.571 0.571 0.571 0.571 0.571 0.571 0.571 0.571 0.571
 0.571 0.554 0.554 0.554 0.554 0.554 0.554 0.554 0.554 0.554 0.554 0.541
 0.541 0.532 0.519 0.519 0.519 0.519 0.519 0.519 0.519 0.519 0.519 0.519
 0.519 0.519 0.519 0.519 0.519 0.519 0.519 0.519 0.519 0.519 0.519 0.519
 0.519 0.519 0.519 0.519 0.519 0.509 0.509 0.509 0.509 0.509 0.507 0.507
 0.507 0.507 0.507 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5  ]",11.576083183288574
5,"[0.998 0.998 0.998 0.998 0.998 0.998 0.998 0.705 0.705 0.705 0.705 0.705
 0.705 0.705 0.705 0.705 0.705 0.667 0.667 0.667 0.667 0.656 0.656 0.656
 0.656 0.648 0.648 0.648 0.596 0.532 0.532 0.532 0.532 0.532 0.532 0.532
 0.532 0.532 0.532 0.532 0.532 0.532 0.532 0.532 0.532 0.532 0.532 0.532
 0.532 0.532 0.532 0.532 0.532 0.532 0.532 0.532 0.532 0.532 0.528 0.524
 0.524 0.524 0.524 0.524 0.524 0.524 0.512 0.512 0.512 0.512 0.512 0.512
 0.512 0.512 0.512 0.512 0.512 0.512 0.512 0.512 0.509 0.509 0.509 0.509
 0.508 0.508 0.508 0.508 0.508 0.508 0.508 0.508 0.508 0.508 0.508 0.508
 0.508 0.508 0.508 0.508 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503
 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.501 0.501 0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5  ]",10.76206111907959
6,"[1.206 1.206 1.054 1.054 1.054 1.054 1.054 1.054 1.054 1.054 1.054 1.054
 1.054 0.828 0.828 0.828 0.828 0.828 0.828 0.828 0.828 0.828 0.828 0.828
 0.828 0.828 0.828 0.828 0.828 0.828 0.828 0.828 0.828 0.828 0.828 0.828
 0.828 0.828 0.828 0.828 0.828 0.828 0.828 0.828 0.828 0.714 0.714 0.714
 0.714 0.714 0.714 0.714 0.714 0.714 0.714 0.714 0.714 0.692 0.692 0.692
 0.692 0.692 0.692 0.692 0.692 0.692 0.692 0.685 0.685 0.685 0.685 0.669
 0.667 0.649 0.649 0.649 0.649 0.649 0.649 0.649 0.649 0.634 0.634 0.634
 0.634 0.634 0.612 0.612 0.612 0.612 0.612 0.612 0.612 0.612 0.612 0.612
 0.607 0.607 0.607 0.607 0.607 0.607 0.607 0.607 0.607 0.607 0.607 0.605
 0.605 0.605 0.605 0.605 0.605 0.605 0.605 0.605 0.605 0.605 0.596 0.596
 0.596 0.596 0.596 0.596 0.596 0.596 0.596 0.596 0.596 0.596 0.596 0.596
 0.57  0.57  0.57  0.57  0.57  0.57  0.57  0.57  0.57  0.56  0.56  0.56
 0.56  0.56  0.559 0.559 0.559 0.559 0.559 0.553 0.553 0.553 0.553 0.553
 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553
 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553
 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553
 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553]",12.636844873428345
7,"[1.056 1.056 1.056 1.056 1.056 1.056 1.056 1.056 1.056 1.056 1.056 1.056
 1.056 1.056 1.056 1.056 1.056 1.056 1.056 1.056 1.056 1.056 1.056 1.056
 1.056 1.056 1.056 1.056 1.056 1.056 1.049 1.049 1.049 1.049 1.049 1.049
 0.977 0.977 0.944 0.944 0.944 0.92  0.92  0.92  0.92  0.92  0.92  0.92
 0.92  0.92  0.821 0.821 0.821 0.821 0.821 0.821 0.821 0.821 0.821 0.821
 0.821 0.821 0.821 0.821 0.821 0.704 0.704 0.704 0.704 0.704 0.704 0.704
 0.704 0.607 0.607 0.605 0.605 0.605 0.605 0.605 0.605 0.605 0.605 0.605
 0.574 0.574 0.574 0.574 0.574 0.574 0.574 0.574 0.574 0.574 0.574 0.574
 0.574 0.574 0.556 0.556 0.556 0.556 0.556 0.556 0.556 0.556 0.556 0.553
 0.553 0.553 0.553 0.553 0.55  0.541 0.541 0.541 0.541 0.518 0.518 0.518
 0.518 0.518 0.518 0.518 0.518 0.518 0.517 0.517 0.516 0.515 0.515 0.515
 0.515 0.515 0.515 0.515 0.515 0.515 0.513 0.513 0.51  0.509 0.509 0.506
 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504
 0.504 0.504 0.504 0.504 0.504 0.504 0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5  ]",10.743200540542603
8,"[1.216 1.216 1.216 1.164 1.164 0.84  0.84  0.84  0.84  0.84  0.84  0.84
 0.84  0.84  0.84  0.696 0.696 0.696 0.696 0.696 0.696 0.696 0.696 0.667
 0.667 0.613 0.613 0.613 0.613 0.613 0.582 0.582 0.582 0.544 0.544 0.544
 0.544 0.544 0.544 0.544 0.544 0.544 0.542 0.542 0.542 0.542 0.542 0.539
 0.539 0.539 0.539 0.538 0.538 0.534 0.534 0.534 0.528 0.527 0.516 0.515
 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504
 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504
 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504
 0.504 0.504 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501
 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501
 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501
 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501
 0.501 0.501 0.501 0.501]",10.132097482681274
9,"[1.101 1.101 1.101 1.101 1.101 1.101 1.101 1.101 1.101 0.932 0.932 0.932
 0.932 0.932 0.932 0.932 0.932 0.932 0.932 0.932 0.932 0.932 0.932 0.932
 0.932 0.932 0.932 0.932 0.932 0.846 0.844 0.815 0.815 0.815 0.774 0.774
 0.774 0.774 0.619 0.619 0.619 0.619 0.619 0.619 0.619 0.619 0.619 0.619
 0.619 0.619 0.619 0.619 0.619 0.619 0.606 0.606 0.606 0.606 0.606 0.606
 0.606 0.606 0.606 0.606 0.594 0.594 0.594 0.594 0.594 0.594 0.587 0.587
 0.585 0.576 0.576 0.565 0.565 0.565 0.565 0.565 0.565 0.565 0.565 0.565
 0.565 0.557 0.557 0.557 0.556 0.556 0.556 0.556 0.556 0.556 0.556 0.546
 0.546 0.546 0.546 0.546 0.546 0.546 0.546 0.546 0.546 0.546 0.546 0.546
 0.546 0.546 0.546 0.546 0.546 0.546 0.546 0.546 0.538 0.538 0.538 0.538
 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538
 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.537 0.537 0.537
 0.537 0.537 0.537 0.537 0.537 0.537 0.537 0.537 0.537 0.537 0.537 0.537
 0.537 0.537 0.537 0.537 0.537 0.537 0.537 0.537 0.537 0.537 0.537 0.537
 0.537 0.537 0.537 0.537 0.537 0.537 0.537 0.537 0.537 0.537 0.537 0.537
 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536 0.536]",12.563551425933838
10,"[1.159 1.159 0.864 0.864 0.864 0.864 0.864 0.864 0.864 0.864 0.864 0.864
 0.864 0.864 0.864 0.864 0.864 0.864 0.864 0.864 0.864 0.864 0.864 0.864
 0.864 0.864 0.864 0.864 0.864 0.864 0.864 0.852 0.852 0.852 0.852 0.812
 0.812 0.812 0.812 0.782 0.78  0.78  0.773 0.773 0.773 0.773 0.773 0.773
 0.746 0.746 0.746 0.711 0.648 0.648 0.648 0.648 0.61  0.61  0.61  0.61
 0.61  0.61  0.61  0.61  0.607 0.607 0.607 0.607 0.607 0.607 0.607 0.589
 0.589 0.587 0.587 0.587 0.533 0.533 0.533 0.533 0.533 0.533 0.533 0.533
 0.533 0.533 0.533 0.533 0.533 0.533 0.533 0.533 0.533 0.533 0.524 0.524
 0.524 0.513 0.513 0.513 0.511 0.511 0.506 0.506 0.506 0.506 0.506 0.506
 0.506 0.506 0.506 0.506 0.506 0.506 0.506 0.506 0.506 0.506 0.506 0.506
 0.506 0.506 0.504 0.504 0.503 0.503 0.503 0.503 0.503 0.502 0.502 0.501
 0.501 0.501 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5  ]",10.617496728897095
11,"[1.186 1.186 1.186 1.186 1.186 1.186 1.186 1.186 1.135 1.135 1.135 1.038
 1.038 1.038 1.038 1.038 1.038 1.03  1.03  1.03  1.03  1.03  1.03  1.03
 0.798 0.798 0.798 0.798 0.798 0.798 0.798 0.798 0.798 0.798 0.798 0.77
 0.77  0.77  0.77  0.73  0.73  0.73  0.73  0.73  0.721 0.721 0.721 0.721
 0.721 0.672 0.672 0.672 0.672 0.672 0.611 0.611 0.611 0.599 0.599 0.599
 0.599 0.599 0.599 0.599 0.599 0.599 0.577 0.577 0.577 0.577 0.577 0.577
 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.541 0.541 0.541 0.541
 0.541 0.541 0.538 0.538 0.538 0.529 0.529 0.529 0.529 0.529 0.517 0.517
 0.517 0.517 0.517 0.516 0.516 0.516 0.516 0.516 0.516 0.516 0.516 0.516
 0.516 0.516 0.516 0.516 0.516 0.516 0.511 0.505 0.505 0.505 0.505 0.505
 0.505 0.505 0.504 0.504 0.504 0.503 0.503 0.503 0.503 0.503 0.503 0.503
 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503
 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503
 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503]",10.8546142578125
12,"[0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999
 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999
 0.999 0.95  0.95  0.95  0.95  0.95  0.95  0.95  0.95  0.95  0.889 0.889
 0.889 0.889 0.889 0.889 0.889 0.889 0.889 0.871 0.871 0.871 0.871 0.871
 0.871 0.815 0.815 0.815 0.815 0.78  0.78  0.78  0.78  0.775 0.733 0.733
 0.733 0.727 0.727 0.727 0.727 0.701 0.701 0.701 0.701 0.69  0.69  0.69
 0.69  0.69  0.588 0.588 0.588 0.588 0.588 0.588 0.588 0.588 0.588 0.588
 0.588 0.588 0.588 0.588 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538
 0.538 0.538 0.523 0.523 0.523 0.523 0.523 0.523 0.523 0.523 0.523 0.523
 0.523 0.523 0.523 0.523 0.523 0.523 0.523 0.523 0.523 0.523 0.523 0.523
 0.523 0.523 0.523 0.511 0.511 0.511 0.511 0.511 0.503 0.503 0.503 0.503
 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503
 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503
 0.503 0.503 0.502 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5  ]",11.246904850006104
13,"[0.837 0.837 0.837 0.837 0.837 0.837 0.837 0.837 0.837 0.837 0.837 0.837
 0.837 0.837 0.837 0.837 0.837 0.837 0.837 0.837 0.837 0.837 0.837 0.837
 0.779 0.779 0.779 0.779 0.779 0.779 0.779 0.779 0.738 0.738 0.738 0.738
 0.738 0.738 0.738 0.738 0.738 0.738 0.738 0.738 0.738 0.738 0.738 0.582
 0.582 0.582 0.582 0.582 0.582 0.582 0.582 0.582 0.582 0.582 0.532 0.532
 0.532 0.532 0.532 0.532 0.532 0.532 0.532 0.532 0.532 0.532 0.532 0.532
 0.532 0.532 0.532 0.514 0.514 0.514 0.514 0.514 0.514 0.514 0.514 0.514
 0.514 0.514 0.514 0.514 0.514 0.514 0.514 0.514 0.514 0.514 0.514 0.514
 0.514 0.514 0.506 0.506 0.506 0.506 0.506 0.506 0.506 0.506 0.505 0.505
 0.505 0.505 0.505 0.505 0.505 0.503 0.503 0.503 0.503 0.502 0.502 0.502
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5  ]",9.56345248222351
